sps 100000
-0.0287712 -0.1150849 0
-0.0290611 -0.1162444 0
-0.0293524 -0.1174098 0
-0.0296452 -0.1185809 0
-0.0299395 -0.1197580 0
-0.0302352 -0.1209407 0
-0.0305323 -0.1221293 0
-0.0308309 -0.1233237 0
-0.0311310 -0.1245239 0
-0.0314325 -0.1257300 0
-0.0317355 -0.1269418 0
-0.0320399 -0.1281595 0
-0.0323457 -0.1293830 0
-0.0326531 -0.1306123 0
-0.0329618 -0.1318473 0
-0.0332721 -0.1330882 0
-0.0335837 -0.1343349 0
-0.0338969 -0.1355875 0
-0.0342115 -0.1368459 0
-0.0345275 -0.1381100 0
-0.0348450 -0.1393800 0
-0.0351640 -0.1406558 0
-0.0354843 -0.1419374 0
-0.0358062 -0.1432248 0
-0.0361295 -0.1445180 0
-0.0364543 -0.1458170 0
-0.0367805 -0.1471218 0
-0.0371081 -0.1484326 0
-0.0374373 -0.1497490 0
-0.0377678 -0.1510713 0
-0.0380998 -0.1523994 0
-0.0384333 -0.1537333 0
-0.0387682 -0.1550730 0
-0.0391046 -0.1564185 0
-0.0394425 -0.1577699 0
-0.0397817 -0.1591270 0
-0.0401225 -0.1604900 0
-0.0404647 -0.1618587 0
-0.0408083 -0.1632334 0
-0.0411534 -0.1646137 0
-0.0415000 -0.1660000 0
-0.0418480 -0.1673920 0
-0.0421975 -0.1687898 0
-0.0425484 -0.1701935 0
-0.0429007 -0.1716029 0
-0.0432546 -0.1730182 0
-0.0436098 -0.1744393 0
-0.0439665 -0.1758662 0
-0.0443247 -0.1772989 0
-0.0446844 -0.1787375 0
-0.0450454 -0.1801818 0
-0.0454080 -0.1816319 0
-0.0457720 -0.1830879 0
-0.0461374 -0.1845497 0
-0.0465043 -0.1860172 0
-0.0468727 -0.1874906 0
-0.0472425 -0.1889699 0
-0.0476137 -0.1904548 0
-0.0479864 -0.1919457 0
-0.0483606 -0.1934423 0
-0.0487362 -0.1949448 0
-0.0491133 -0.1964531 0
-0.0494918 -0.1979672 0
-0.0498718 -0.1994871 0
-0.0502532 -0.2010128 0
-0.0506361 -0.2025443 0
-0.0510204 -0.2040817 0
-0.0514062 -0.2056248 0
-0.0517934 -0.2071737 0
-0.0521821 -0.2087285 0
-0.0525723 -0.2102891 0
-0.0529639 -0.2118555 0
-0.0533569 -0.2134277 0
-0.0537514 -0.2150057 0
-0.0541474 -0.2165896 0
-0.0545448 -0.2181792 0
-0.0549437 -0.2197746 0
-0.0553440 -0.2213759 0
-0.0557458 -0.2229830 0
-0.0561490 -0.2245959 0
-0.0565537 -0.2262146 0
-0.0569598 -0.2278391 0
-0.0573674 -0.2294694 0
-0.0577764 -0.2311056 0
-0.0581869 -0.2327476 0
-0.0585988 -0.2343953 0
-0.0590122 -0.2360489 0
-0.0594271 -0.2377082 0
-0.0598434 -0.2393734 0
-0.0602611 -0.2410445 0
-0.0606803 -0.2427213 0
-0.0611010 -0.2444040 0
-0.0615231 -0.2460923 0
-0.0619467 -0.2477866 0
-0.0623717 -0.2494867 0
-0.0627982 -0.2511926 0
-0.0632261 -0.2529043 0
-0.0636555 -0.2546218 0
-0.0640863 -0.2563452 0
-0.0645186 -0.2580743 0
-0.0649523 -0.2598092 0
-0.0653875 -0.2615499 0
-0.0658242 -0.2632965 0
-0.0662622 -0.2650489 0
-0.0667018 -0.2668071 0
-0.0671428 -0.2685711 0
-0.0675852 -0.2703410 0
-0.0680292 -0.2721166 0
-0.0684745 -0.2738980 0
-0.0689213 -0.2756853 0
-0.0693696 -0.2774783 0
-0.0698193 -0.2792772 0
-0.0702705 -0.2810820 0
-0.0707231 -0.2828924 0
-0.0711772 -0.2847088 0
-0.0716327 -0.2865309 0
-0.0720897 -0.2883589 0
-0.0725482 -0.2901926 0
-0.0730080 -0.2920321 0
-0.0734694 -0.2938775 0
-0.0739322 -0.2957287 0
-0.0743964 -0.2975858 0
-0.0748621 -0.2994486 0
-0.0753293 -0.3013172 0
-0.0757979 -0.3031917 0
-0.0762680 -0.3050719 0
-0.0767395 -0.3069580 0
-0.0772125 -0.3088498 0
-0.0776869 -0.3107475 0
-0.0781628 -0.3126511 0
-0.0786401 -0.3145604 0
-0.0791189 -0.3164755 0
-0.0795991 -0.3183964 0
-0.0800808 -0.3203231 0
-0.0805639 -0.3222557 0
-0.0810485 -0.3241942 0
-0.0815346 -0.3261383 0
-0.0820221 -0.3280883 0
-0.0825110 -0.3300441 0
-0.0830014 -0.3320057 0
-0.0834933 -0.3339732 0
-0.0839866 -0.3359464 0
-0.0844814 -0.3379255 0
-0.0849776 -0.3399103 0
-0.0854753 -0.3419010 0
-0.0859744 -0.3438976 0
-0.0864750 -0.3458998 0
-0.0869770 -0.3479080 0
-0.0874805 -0.3499219 0
-0.0879854 -0.3519416 0
-0.0884918 -0.3539672 0
-0.0889996 -0.3559986 0
-0.0895089 -0.3580358 0
-0.0900197 -0.3600787 0
-0.0905319 -0.3621276 0
-0.0910456 -0.3641822 0
-0.0915607 -0.3662426 0
-0.0920772 -0.3683088 0
-0.0925952 -0.3703810 0
-0.0931147 -0.3724588 0
-0.0936356 -0.3745425 0
-0.0941580 -0.3766319 0
-0.0946818 -0.3787273 0
-0.0952071 -0.3808284 0
-0.0957338 -0.3829353 0
-0.0962620 -0.3850481 0
-0.0967916 -0.3871666 0
-0.0973228 -0.3892910 0
-0.0978553 -0.3914212 0
-0.0983893 -0.3935572 0
-0.0989248 -0.3956990 0
-0.0994616 -0.3978465 0
-0.1000000 -0.4000000 0
-0.1005384 -0.4021535 0
-0.1010753 -0.4043010 0
-0.1016107 -0.4064429 0
-0.1021447 -0.4085788 0
-0.1026773 -0.4107090 0
-0.1032084 -0.4128334 0
-0.1037380 -0.4149519 0
-0.1042662 -0.4170647 0
-0.1047929 -0.4191716 0
-0.1053182 -0.4212728 0
-0.1058420 -0.4233681 0
-0.1063644 -0.4254575 0
-0.1068853 -0.4275412 0
-0.1074048 -0.4296190 0
-0.1079228 -0.4316912 0
-0.1084393 -0.4337574 0
-0.1089545 -0.4358178 0
-0.1094681 -0.4378724 0
-0.1099803 -0.4399213 0
-0.1104911 -0.4419642 0
-0.1110004 -0.4440014 0
-0.1115082 -0.4460328 0
-0.1120146 -0.4480584 0
-0.1125195 -0.4500781 0
-0.1130230 -0.4520920 0
-0.1135250 -0.4541002 0
-0.1140256 -0.4561025 0
-0.1145247 -0.4580990 0
-0.1150224 -0.4600897 0
-0.1155186 -0.4620745 0
-0.1160134 -0.4640536 0
-0.1165067 -0.4660268 0
-0.1169986 -0.4679943 0
-0.1174890 -0.4699559 0
-0.1179779 -0.4719117 0
-0.1184654 -0.4738617 0
-0.1189515 -0.4758058 0
-0.1194361 -0.4777443 0
-0.1199192 -0.4796769 0
-0.1204009 -0.4816036 0
-0.1208811 -0.4835245 0
-0.1213599 -0.4854396 0
-0.1218372 -0.4873489 0
-0.1223131 -0.4892525 0
-0.1227875 -0.4911502 0
-0.1232605 -0.4930421 0
-0.1237320 -0.4949281 0
-0.1242021 -0.4968084 0
-0.1246707 -0.4986828 0
-0.1251379 -0.5005515 0
-0.1256036 -0.5024142 0
-0.1260678 -0.5042713 0
-0.1265306 -0.5061225 0
-0.1269920 -0.5079678 0
-0.1274518 -0.5098074 0
-0.1279103 -0.5116411 0
-0.1283673 -0.5134691 0
-0.1288228 -0.5152912 0
-0.1292769 -0.5171076 0
-0.1297295 -0.5189180 0
-0.1301807 -0.5207227 0
-0.1306304 -0.5225216 0
-0.1310787 -0.5243147 0
-0.1315255 -0.5261019 0
-0.1319709 -0.5278834 0
-0.1324148 -0.5296590 0
-0.1328572 -0.5314289 0
-0.1332982 -0.5331929 0
-0.1337378 -0.5349511 0
-0.1341759 -0.5367035 0
-0.1346125 -0.5384501 0
-0.1350477 -0.5401908 0
-0.1354814 -0.5419257 0
-0.1359137 -0.5436549 0
-0.1363446 -0.5453782 0
-0.1367739 -0.5470957 0
-0.1372018 -0.5488074 0
-0.1376283 -0.5505133 0
-0.1380533 -0.5522134 0
-0.1384769 -0.5539077 0
-0.1388990 -0.5555961 0
-0.1393197 -0.5572788 0
-0.1397389 -0.5589556 0
-0.1401566 -0.5606266 0
-0.1405729 -0.5622917 0
-0.1409878 -0.5639511 0
-0.1414012 -0.5656047 0
-0.1418131 -0.5672525 0
-0.1422236 -0.5688944 0
-0.1426326 -0.5705306 0
-0.1430402 -0.5721609 0
-0.1434464 -0.5737854 0
-0.1438510 -0.5754041 0
-0.1442543 -0.5770170 0
-0.1446560 -0.5786241 0
-0.1450563 -0.5802253 0
-0.1454552 -0.5818208 0
-0.1458526 -0.5834104 0
-0.1462486 -0.5849943 0
-0.1466431 -0.5865723 0
-0.1470361 -0.5881445 0
-0.1474277 -0.5897109 0
-0.1478179 -0.5912715 0
-0.1482066 -0.5928262 0
-0.1485938 -0.5943753 0
-0.1489796 -0.5959184 0
-0.1493639 -0.5974557 0
-0.1497468 -0.5989872 0
-0.1501282 -0.6005129 0
-0.1505082 -0.6020328 0
-0.1508867 -0.6035469 0
-0.1512638 -0.6050552 0
-0.1516394 -0.6065577 0
-0.1520136 -0.6080543 0
-0.1523863 -0.6095451 0
-0.1527575 -0.6110302 0
-0.1531273 -0.6125094 0
-0.1534957 -0.6139828 0
-0.1538626 -0.6154503 0
-0.1542280 -0.6169121 0
-0.1545920 -0.6183680 0
-0.1549546 -0.6198182 0
-0.1553156 -0.6212626 0
-0.1556753 -0.6227010 0
-0.1560335 -0.6241338 0
-0.1563902 -0.6255606 0
-0.1567454 -0.6269818 0
-0.1570993 -0.6283971 0
-0.1574516 -0.6298065 0
-0.1578026 -0.6312102 0
-0.1581520 -0.6326081 0
-0.1585000 -0.6340000 0
-0.1588466 -0.6353863 0
-0.1591917 -0.6367666 0
-0.1595353 -0.6381413 0
-0.1598775 -0.6395100 0
-0.1602183 -0.6408730 0
-0.1605575 -0.6422302 0
-0.1608954 -0.6435815 0
-0.1612318 -0.6449270 0
-0.1615667 -0.6462668 0
-0.1619002 -0.6476007 0
-0.1622322 -0.6489288 0
-0.1625628 -0.6502510 0
-0.1628919 -0.6515675 0
-0.1632195 -0.6528782 0
-0.1635458 -0.6541830 0
-0.1638705 -0.6554820 0
-0.1641938 -0.6567752 0
-0.1645157 -0.6580626 0
-0.1648361 -0.6593443 0
-0.1651550 -0.6606200 0
-0.1654725 -0.6618900 0
-0.1657885 -0.6631541 0
-0.1661031 -0.6644125 0
-0.1664163 -0.6656650 0
-0.1667279 -0.6669117 0
-0.1670382 -0.6681527 0
-0.1673469 -0.6693877 0
-0.1676543 -0.6706170 0
-0.1679601 -0.6718405 0
-0.1682646 -0.6730582 0
