sps 100000
-0.3669520 -0.3669520 0
-0.3706489 -0.3706489 0
-0.3743651 -0.3743651 0
-0.3780997 -0.3780997 0
-0.3818529 -0.3818529 0
-0.3856245 -0.3856245 0
-0.3894146 -0.3894146 0
-0.3932232 -0.3932232 0
-0.3970504 -0.3970504 0
-0.4008961 -0.4008961 0
-0.4047602 -0.4047602 0
-0.4086428 -0.4086429 0
-0.4125440 -0.4125440 0
-0.4164636 -0.4164636 0
-0.4204018 -0.4204018 0
-0.4243584 -0.4243585 0
-0.4283335 -0.4283336 0
-0.4323272 -0.4323272 0
-0.4363394 -0.4363394 0
-0.4403700 -0.4403700 0
-0.4444191 -0.4444191 0
-0.4484868 -0.4484868 0
-0.4525729 -0.4525729 0
-0.4566776 -0.4566775 0
-0.4608008 -0.4608008 0
-0.4649424 -0.4649424 0
-0.4691026 -0.4691025 0
-0.4732820 -0.4732820 0
-0.4774799 -0.4774799 0
-0.4816963 -0.4816963 0
-0.4859314 -0.4859314 0
-0.4901848 -0.4901848 0
-0.4944568 -0.4944567 0
-0.4987472 -0.4987472 0
-0.5030425 -0.5030425 0
-0.5073249 -0.5073249 0
-0.5115888 -0.5115888 0
-0.5158342 -0.5158342 0
-0.5200612 -0.5200612 0
-0.5242696 -0.5242696 0
-0.5284595 -0.5284595 0
-0.5326309 -0.5326309 0
-0.5367838 -0.5367837 0
-0.5409182 -0.5409182 0
-0.5450342 -0.5450342 0
-0.5491315 -0.5491315 0
-0.5532104 -0.5532104 0
-0.5572708 -0.5572708 0
-0.5613127 -0.5613127 0
-0.5653361 -0.5653361 0
-0.5693410 -0.5693410 0
-0.5733274 -0.5733274 0
-0.5772945 -0.5772945 0
-0.5812432 -0.5812431 0
-0.5851732 -0.5851732 0
-0.5890848 -0.5890848 0
-0.5929779 -0.5929779 0
-0.5968525 -0.5968525 0
-0.6007086 -0.6007086 0
-0.6045463 -0.6045463 0
-0.6083654 -0.6083654 0
-0.6121659 -0.6121659 0
-0.6159480 -0.6159480 0
-0.6197117 -0.6197116 0
-0.6234568 -0.6234567 0
-0.6271833 -0.6271833 0
-0.6308915 -0.6308915 0
-0.6345811 -0.6345811 0
-0.6382521 -0.6382521 0
-0.6419047 -0.6419047 0
-0.6455388 -0.6455388 0
-0.6491545 -0.6491545 0
-0.6527515 -0.6527515 0
-0.6563301 -0.6563301 0
-0.6598902 -0.6598902 0
-0.6634318 -0.6634318 0
-0.6669549 -0.6669549 0
-0.6704586 -0.6704586 0
-0.6739440 -0.6739440 0
-0.6774108 -0.6774108 0
-0.6808591 -0.6808591 0
-0.6842888 -0.6842888 0
-0.6877001 -0.6877001 0
-0.6910929 -0.6910929 0
-0.6944672 -0.6944672 0
-0.6978230 -0.6978230 0
-0.7011603 -0.7011603 0
-0.7044791 -0.7044791 0
-0.7077794 -0.7077794 0
-0.7110611 -0.7110611 0
-0.7143244 -0.7143244 0
-0.7175692 -0.7175692 0
-0.7207955 -0.7207955 0
-0.7240033 -0.7240033 0
-0.7271926 -0.7271926 0
-0.7303634 -0.7303634 0
-0.7335156 -0.7335156 0
-0.7366494 -0.7366494 0
-0.7397647 -0.7397647 0
